,番号,分類
293,293,ヨーロッパ
294,294,アフリカ
295,295,北アメリカ
296,296,南アメリカ
297,297,オセアニア、両極地方
298,298,
299,299,海洋
300,300,社会科学
301,301,理論、方法論
302,302,政治・経済・社会・文化事情
303,303,参考図書（レファレンスブック）
304,304,論文集、評論集、講演集
305,305,逐次刊行物
306,306,団体
307,307,研究法、指導法、社会科学教育
308,308,叢書、全集、選集
309,309,社会思想
310,310,政治
311,311,政治学、政治思想
312,312,政治史・事情
313,313,国家の形態、政治体制
314,314,議会
315,315,政党、政治結社
316,316,国家と個人・宗教・民族
317,317,行政
318,318,地方自治、地方行政
319,319,外交、国際問題
320,320,法律
321,321,法学
322,322,法制史
323,323,憲法
324,324,民法、民事法
325,325,商法、商事法
326,326,刑法、刑事法
327,327,司法、訴訟手続法
328,328,諸法
329,329,国際法
330,330,経済
331,331,経済学、経済思想
332,332,経済史・事情、経済体制
333,333,経済政策、国際経済
334,334,人口、土地、資源
335,335,企業、経営
336,336,経営管理
337,337,貨幣、通貨
338,338,金融、銀行、信託
339,339,保険
340,340,財政
341,341,財政学、財政思想
342,342,財政史・事情
343,343,財政政策、財務行政
344,344,予算、決算
345,345,租税
346,346,
347,347,公債、国債
348,348,専売、国有財産
349,349,地方財政
350,350,統計
351,351,日本
352,352,アジア
353,353,ヨーロッパ
354,354,アフリカ
355,355,北アメリカ
356,356,南アメリカ
357,357,オセアニア、両極地方
358,358,人口統計、国勢調査
359,359,各種の統計書
360,360,社会
361,361,社会学
362,362,社会史、社会体制
363,363,
364,364,社会保障
365,365,生活・消費者問題
366,366,労働経済、労働問題
367,367,家族問題、男性・女性問題、老人問題
368,368,社会病理
369,369,社会福祉
370,370,教育
371,371,教育学、教育思想
372,372,教育史・事情
373,373,教育政策、教育制度、教育行財政
374,374,学校経営・管理、学校保健
375,375,教育課程、学習指導、教科別教育
376,376,幼児・初等・中等教育
377,377,大学、高等・専門教育、学術行政
378,378,障害児教育（特別支援教育）
379,379,社会教育
380,380,風俗習慣、民俗学、民族学
381,381,
382,382,風俗史、民俗誌、民族誌
383,383,衣食住の習俗
384,384,社会・家庭生活の習俗
385,385,通過儀礼、冠婚葬祭
386,386,年中行事、祭礼
387,387,民間信仰、迷信（俗信）
388,388,伝説、民話（昔話）
389,389,民族学、文化人類学
390,390,国防、軍事
391,391,戦争、戦略、戦術
392,392,国防史・事情、軍事史・事情
393,393,国防政策・行政・法令
394,394,軍事医学、兵食
395,395,軍事施設、軍需品
396,396,陸軍
397,397,海軍
398,398,空軍
399,399,古代兵法、軍学
400,400,自然科学
401,401,科学理論、科学哲学
402,402,科学史・事情
403,403,参考図書（レファレンスブック）
404,404,論文集、評論集、講演集
405,405,逐次刊行物
406,406,団体
407,407,研究法、指導法、科学教育
408,408,叢書、全集、選集
409,409,科学技術政策、科学技術行政 
410,410,数学
411,411,代数学
412,412,数論（整数論）
413,413,解析学
414,414,幾何学
415,415,位相数学
416,416,
417,417,確率論、数理統計学
418,418,計算法
419,419,和算、中国算法
420,420,物理学
421,421,理論物理学
422,422,
423,423,力学
424,424,振動学、音響学
425,425,光学
426,426,熱学
427,427,電磁気学
428,428,物性物理学
429,429,原子物理学
430,430,化学
431,431,物理化学、理論化学
432,432,実験化学（化学実験法）
433,433,分析化学（化学分析）
434,434,合成化学（化学合成）
435,435,無機化学
436,436,金属元素とその化合物
437,437,有機化学
438,438,環式化合物の化学
439,439,天然物質の化学
440,440,天文学、宇宙科学
441,441,理論天文学、数理天文学
442,442,実地天文学、天体観測法
443,443,恒星、恒星天文学
444,444,太陽、太陽物理学
445,445,惑星、衛星
446,446,月
447,447,彗星、流星
448,448,地球、天文地理学
449,449,時法、暦学
450,450,地球科学、地学
451,451,気象学
452,452,海洋学
453,453,地震学
454,454,地形学
455,455,地質学
456,456,地史学、層位学
457,457,古生物学、化石
458,458,岩石学
459,459,鉱物学
460,460,生物科学、一般生物学
461,461,理論生物学、生命論
462,462,生物地理、生物誌
463,463,細胞学
464,464,生化学
465,465,微生物学
466,466,
467,467,遺伝学
468,468,生態学
469,469,人類学
470,470,植物学
471,471,一般植物学
472,472,植物地理、植物誌
473,473,葉状植物
474,474,藻類、菌類
475,475,コケ植物（蘚苔類）
476,476,シダ植物
477,477,種子植物
478,478,裸子植物
479,479,被子植物
480,480,動物学
481,481,一般動物学
482,482,動物地理、動物誌
483,483,無脊椎動物
484,484,軟体動物、貝類学
485,485,節足動物
486,486,昆虫類
487,487,脊椎動物
