,初,名,終
0,645,飛鳥,714
1,715,奈良,805
2,806,平安,1198
3,1199,鎌倉,1335
4,1336,南北朝(南朝),1393
5,1394,室町,1466
6,1467,戦国,1614
7,1615,江戸,1867
8,1868,現代,2022
